,wi,ph,y,LOCATIONS,y1,Safety
0,28.571428571428573,7.5,0.0,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",0.0,Not Safe
1,28.571428571428573,7.2,0.0,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",0.0,Not Safe
2,74.25714285714285,6.9,0.0,ZUARI AT PANCHAWADI,0.0,Not Safe
3,77.11428571428571,7.4,0.0,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",0.0,Not Safe
4,71.39999999999999,6.7,0.0,"MANDOVI AT TONCA, MARCELA, GOA",0.0,Not Safe
5,77.11428571428571,7.0,0.0,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",0.0,Not Safe
6,77.11428571428571,7.5,0.0,RIVER CHAPORA AT SIOLIM,0.0,Not Safe
7,86.65714285714284,7.8,1.0,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",1.0,Safe for Drinking
8,86.65714285714284,7.9,1.0,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",1.0,Safe for Drinking
9,86.65714285714284,8.1,1.0,"SURYA RIVER AT MIDC PUMPING STATION, GARVASHET, PALGHAR, THANE",1.0,Safe for Drinking
10,84.74285714285715,7.5,1.0,"ACHENKOIL AT THUMPAMON, KERALA",1.0,Safe for Drinking
11,81.88571428571429,7.4,1.0,"ACHENKOIL AT CHENNITHULA, KERALA",1.0,Safe for Drinking
12,80.94285714285715,7.0,1.0,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",1.0,Safe for Drinking
13,87.60000000000001,7.5,1.0,"VAMANAPURAM, KERALA",1.0,Safe for Drinking
14,83.8,7.6,1.0,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",1.0,Safe for Drinking
15,86.65714285714284,8.0,1.0,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",1.0,Safe for Drinking
16,86.65714285714284,7.3,1.0,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",1.0,Safe for Drinking
17,89.5142857142857,7.5,1.0,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",1.0,Safe for Drinking
20,75.2,7.9,0.0,"BUDHABALANGA, D/S OF BARIPADA TOWN",0.0,Not Safe
21,72.34285714285714,7.8,0.0,BUDHABALANGA AT BALASORE D/S,0.0,Not Safe
22,79.97142857142856,7.9,0.0,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),0.0,Not Safe
23,79.97142857142856,7.9,0.0,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),0.0,Not Safe
25,81.88571428571429,7.4,1.0,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",1.0,Safe for Drinking
26,37.142857142857146,7.6,0.0,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNADU",0.0,Not Safe
28,68.54285714285713,7.2,0.0,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",0.0,Not Safe
29,60.91428571428571,7.6,0.0,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",0.0,Not Safe
30,60.91428571428571,7.4,0.0,"U/S SARDULGARH, PUNJAB",0.0,Not Safe
31,80.94285714285715,6.8,1.0,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",1.0,Safe for Drinking
32,89.5142857142857,7.8,1.0,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR, H.P.",1.0,Safe for Drinking
33,86.65714285714284,8.0,1.0,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN",1.0,Safe for Drinking
34,60.94285714285714,3.3,0.0,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",0.0,Not Safe
35,89.5142857142857,7.2,1.0,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",1.0,Safe for Drinking
38,65.71428571428571,7.3,0.0,TLAWNG UPSTREAM AIZAWL,0.0,Not Safe
39,89.5142857142857,7.3,1.0,TLAWNG DOWNSTREAM AIZAWL,1.0,Safe for Drinking
40,81.88571428571429,7.8,1.0,"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",1.0,Safe for Drinking
41,79.02857142857144,7.8,0.0,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",0.0,Not Safe
44,81.88571428571429,7.9,1.0,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",1.0,Safe for Drinking
47,78.08571428571429,7.7,0.0,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",0.0,Not Safe
48,64.74285714285715,8.3,0.0,BALEHWAR KHADI AT N.H. NO 8,0.0,Not Safe
49,86.65714285714284,7.3,1.0,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",1.0,Safe for Drinking
